Borough,District,Number,Tract,Total,White,Black_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_Other_Race,Multiple,Hispanic
Brooklyn,047,3,058800,"3,245","2,367",51,5,543,0,11,36,232
Brooklyn,047,3,058900,"1,904","1,656",13,2,66,2,14,29,122
Brooklyn,047,3,059000,"1,899",752,116,0,750,0,8,25,248
Brooklyn,047,3,059100,"3,920","3,324",46,5,103,0,2,65,375
Brooklyn,047,3,059200,"3,870","2,493",37,0,"1,035",0,8,108,189
Brooklyn,047,3,059300,"2,228","1,689",25,6,63,0,9,35,401
Brooklyn,047,3,059401,"7,628","4,657",42,4,"2,451",0,16,84,374
Brooklyn,047,3,059402,"4,551","3,564",61,1,692,0,1,36,196
Brooklyn,047,3,059600,"2,306","1,955",51,0,165,0,3,27,105
Brooklyn,047,3,059800,"3,427","2,727",134,2,271,0,3,81,209
Brooklyn,047,3,060000,"6,067","4,941",93,4,549,1,16,79,384
Brooklyn,047,3,060600,"2,555","1,853",28,1,390,0,17,39,227
Brooklyn,047,3,060800,"3,574","2,839",67,3,360,0,19,53,233
Brooklyn,047,3,061002,"4,508","4,344",17,2,42,0,2,28,73
Brooklyn,047,3,061003,"1,984",526,34,3,534,0,25,60,802
Brooklyn,047,3,061004,"6,447","5,609",39,1,331,0,8,60,399
Brooklyn,047,3,061200,"1,076","1,023",2,1,13,0,3,9,25
Brooklyn,047,3,061600,"1,656","1,562",22,0,16,0,2,13,41
Brooklyn,047,3,062000,"1,850","1,766",8,1,32,0,2,12,29
Brooklyn,047,3,062200,"3,252","2,600",259,3,93,0,7,43,247
Brooklyn,047,3,062600,"2,788","1,664",233,0,510,0,23,37,321
Brooklyn,047,3,062800,"5,226","4,625",20,4,170,2,0,37,368
Brooklyn,047,3,063200,"1,447","1,222",6,0,97,0,2,10,110
Brooklyn,047,3,063600,"1,236","1,014",7,0,74,0,1,25,115
Brooklyn,047,3,063800,"1,524","1,268",13,0,143,0,5,15,80
Brooklyn,047,3,064000,"1,599","1,316",9,0,140,0,3,13,118
Brooklyn,047,3,064200,"2,518","2,050",26,3,169,1,6,17,246
Brooklyn,047,3,064400,"2,528","1,979",57,0,229,0,6,29,228
Brooklyn,047,3,064600,"2,189","1,704",122,1,166,0,0,25,171
Brooklyn,047,3,064800,"1,945","1,170",357,7,161,0,10,44,196
Brooklyn,047,3,065000,"1,389",427,501,5,202,0,0,39,215
Brooklyn,047,3,065200,"1,232",872,35,0,164,0,1,26,134
Brooklyn,047,3,065400,"1,607","1,400",11,4,83,0,2,9,98
Brooklyn,047,3,065600,"1,708","1,461",12,1,80,0,5,27,122
Brooklyn,047,3,065800,"1,762","1,449",12,0,144,0,6,24,127
Brooklyn,047,3,066000,"1,773","1,448",4,0,134,0,0,17,170
Brooklyn,047,3,066200,"1,411",984,43,1,165,6,0,19,193
Brooklyn,047,3,066600,0,0,0,0,0,0,0,0,0
Brooklyn,047,3,067000,"2,680",681,"1,427",8,144,0,28,59,333
Brooklyn,047,3,067200,"1,422",180,912,8,56,0,8,52,206
Brooklyn,047,3,067400,"1,964",366,"1,201",16,109,0,12,51,209
Brooklyn,047,3,067600,"1,657",186,"1,237",5,39,0,9,43,138
Brooklyn,047,3,067800,"2,660",360,"2,093",2,30,0,13,44,118
Brooklyn,047,3,068000,"1,809",313,"1,081",2,105,1,27,46,234
Brooklyn,047,3,068200,"2,432",564,"1,357",3,121,0,24,44,319
Brooklyn,047,3,068600,"1,533",860,345,5,142,0,18,24,139
Brooklyn,047,3,068800,"1,614",548,763,3,86,2,6,20,186
Brooklyn,047,3,069000,"1,791",403,"1,023",1,86,0,10,26,242
Brooklyn,047,3,069200,"2,392",342,"1,698",1,52,7,11,45,236
Brooklyn,047,3,069601,"3,780","1,805","1,348",7,105,0,13,67,435
Brooklyn,047,3,069602,"5,995","4,018","1,036",7,331,1,29,98,475
Brooklyn,047,3,069800,"1,277","1,073",69,1,35,0,2,11,86
Brooklyn,047,3,070000,"1,703","1,571",22,5,16,0,0,6,83
Brooklyn,047,3,070201,"6,573","6,120",35,0,152,0,16,39,211
Brooklyn,047,3,070202,37,25,12,0,0,0,0,0,0
Brooklyn,047,3,070203,0,0,0,0,0,0,0,0,0
Brooklyn,047,3,070600,"2,700","2,474",1,0,56,0,4,16,149
Brooklyn,047,3,072000,"2,167",161,"1,759",5,71,1,3,51,116
Brooklyn,047,3,072200,"2,655",78,"2,318",16,52,0,12,24,155
Brooklyn,047,3,072400,"1,755",40,"1,574",3,4,0,14,30,90
Brooklyn,047,3,072600,"2,093",50,"1,813",1,13,0,13,62,141
Brooklyn,047,3,072800,"3,193",241,"2,636",2,42,0,11,44,217
Brooklyn,047,3,073000,"1,979",170,"1,628",6,34,0,11,24,106
Brooklyn,047,3,073200,"2,096",107,"1,692",2,77,0,25,25,168
Brooklyn,047,3,073400,"1,889",72,"1,556",9,50,0,8,30,164
Brooklyn,047,3,073600,"3,368",373,"2,196",12,358,1,21,97,310
Brooklyn,047,3,073800,"3,225","1,065","1,544",9,155,0,14,48,390
Brooklyn,047,3,074000,"3,531",294,"2,324",4,365,2,22,103,417
Brooklyn,047,3,074200,"3,292","1,437","1,441",2,121,0,14,47,230
Brooklyn,047,3,074400,"2,492","2,250",117,0,43,0,2,9,71
Brooklyn,047,3,074600,"2,003","1,288",403,1,117,0,0,26,168
Brooklyn,047,3,074800,"2,012","1,471",371,2,51,0,0,14,103
Brooklyn,047,3,075000,"3,029","2,443",321,3,83,2,14,19,144
Brooklyn,047,3,075200,"1,130","1,116",10,0,0,1,0,1,2
Brooklyn,047,3,075400,"1,488","1,483",0,0,0,0,0,0,5
Brooklyn,047,3,075600,"1,993","1,689",62,0,154,0,4,15,69
Brooklyn,047,3,075800,"1,816","1,691",18,0,48,0,1,5,53
Brooklyn,047,3,076000,"2,776","2,389",55,1,169,0,2,36,124
Brooklyn,047,3,076200,"4,235","2,391",483,7,606,0,20,56,672
Brooklyn,047,3,076400,"3,487",691,"1,956",11,149,1,8,51,620
Brooklyn,047,3,076600,"2,061",143,"1,608",5,34,0,13,20,238
Brooklyn,047,3,076800,"3,407","2,642",63,5,419,0,10,21,247
Brooklyn,047,3,077000,"2,722",194,"1,959",10,47,0,29,56,427
Brooklyn,047,3,077200,"3,394","1,200","1,594",8,99,1,16,62,414
Brooklyn,047,3,077400,"2,881",652,"1,573",2,219,3,13,60,359
Brooklyn,047,3,077600,"3,806",273,"2,908",14,171,2,32,92,314
Brooklyn,047,3,078000,"2,092",65,"1,863",8,28,1,0,35,92
Brooklyn,047,3,078200,"3,864",43,"3,525",11,24,0,38,34,189
Brooklyn,047,3,078400,"2,348",77,"1,969",7,41,2,17,49,186
Brooklyn,047,3,078600,"4,256",190,"3,226",17,240,1,13,60,509
Brooklyn,047,3,078800,"3,422",35,"2,939",1,20,1,18,78,330
Brooklyn,047,3,079000,"5,094",77,"4,401",28,79,3,13,80,413
Brooklyn,047,3,079200,"4,372",73,"3,525",15,67,1,16,93,582
Brooklyn,047,3,079400,"1,864",28,"1,576",2,13,0,12,17,216
Brooklyn,047,3,079601,"4,413",592,"3,005",3,70,1,22,96,624
Brooklyn,047,3,079602,"4,814",269,"3,701",20,52,1,25,87,659
Brooklyn,047,3,079801,"3,037",513,"2,086",6,76,0,11,94,251
Brooklyn,047,3,079802,"5,451",756,"3,722",21,175,3,24,130,620
Brooklyn,047,3,080000,"3,487",497,"2,572",4,71,1,8,67,267
Brooklyn,047,3,080200,"4,304",216,"3,566",7,34,0,33,80,368
Brooklyn,047,3,080400,"3,250",212,"2,617",12,87,0,13,64,245
Brooklyn,047,3,080600,"3,386",891,"2,217",13,20,3,16,48,178
Brooklyn,047,3,080800,"1,197",91,841,0,115,0,17,6,127
Brooklyn,047,3,081000,"2,300",58,"1,973",5,55,0,2,51,156
Brooklyn,047,3,081400,"2,635",24,"2,394",5,28,0,1,52,131
Brooklyn,047,3,081600,"2,791",34,"2,396",1,107,0,6,76,171
Brooklyn,047,3,081800,"4,551",204,"3,538",10,196,1,29,93,480
Brooklyn,047,3,082000,"5,281",80,"4,421",13,96,1,26,92,552
Brooklyn,047,3,082200,"7,280",186,"6,138",16,60,2,22,123,733
Brooklyn,047,3,082400,"4,730",35,"4,109",8,63,0,5,99,411
Brooklyn,047,3,082600,"5,513",85,"4,815",22,31,3,25,79,453
Brooklyn,047,3,082800,"3,814",55,"3,202",24,80,0,17,68,368
Brooklyn,047,3,083000,"5,997",55,"5,257",6,65,1,31,126,456
Brooklyn,047,3,083200,"2,289",27,"2,040",9,41,4,21,37,110
Brooklyn,047,3,083400,"1,701",26,"1,512",4,17,0,9,58,75
Brooklyn,047,3,083600,"1,929",37,"1,735",4,14,0,19,32,88
Brooklyn,047,3,083800,"2,189",37,"1,926",1,30,0,11,54,130
Brooklyn,047,3,084000,"2,412",69,"2,081",7,36,0,8,39,172
Brooklyn,047,3,084600,"1,963",39,"1,741",0,15,0,14,59,95
Brooklyn,047,3,084800,"1,750",12,"1,613",7,6,0,6,26,80
Brooklyn,047,3,085000,"1,374",48,"1,244",1,11,0,2,21,47
Brooklyn,047,3,085200,29,0,27,0,0,0,0,1,1
Brooklyn,047,3,085400,"2,052",18,"1,836",3,22,0,11,21,141
Brooklyn,047,3,085600,"3,608",43,"3,174",17,22,1,26,65,260
Brooklyn,047,3,085800,"2,434",23,"2,224",10,20,1,7,58,91
Brooklyn,047,3,086000,"3,426",43,"3,080",10,25,3,7,56,202
Brooklyn,047,3,086200,"2,996",32,"2,730",13,26,2,30,22,141
Brooklyn,047,3,086400,"2,231",13,"2,062",11,8,0,5,38,94
Brooklyn,047,3,086600,"3,149",13,"2,939",6,10,0,5,48,128
Brooklyn,047,3,086800,"3,156",68,"2,857",13,45,0,5,32,136
Brooklyn,047,3,087000,"3,204",48,"2,929",8,15,4,7,32,161
Brooklyn,047,3,087200,"2,868",14,"2,658",7,10,3,4,34,138
Brooklyn,047,3,087401,"3,142",236,"2,543",2,21,0,19,44,277
Brooklyn,047,3,087600,"1,742",296,"1,320",0,10,1,10,18,87
Brooklyn,047,3,087800,"3,006",60,"2,706",6,13,1,10,45,165
Brooklyn,047,3,088000,"2,863",52,"2,579",6,19,0,8,23,176
Brooklyn,047,3,088200,"6,740",18,"6,181",28,32,5,14,79,383
Brooklyn,047,3,088400,"5,236",52,"4,740",18,46,1,29,91,259
Brooklyn,047,3,088600,"4,427",26,"3,989",0,20,1,2,49,340
Brooklyn,047,3,088800,"3,923",25,"3,450",6,10,6,5,51,370
Brooklyn,047,3,089000,"6,319",66,"5,565",14,46,0,14,65,549
Brooklyn,047,3,089200,"3,651",25,"3,193",1,7,4,9,68,344
Brooklyn,047,3,089400,"3,430",43,"2,914",10,18,0,16,50,379
Brooklyn,047,3,089600,"3,546",39,"2,951",13,141,4,10,51,337
Brooklyn,047,3,089800,"2,089",18,"1,837",2,17,0,10,20,185
Brooklyn,047,3,090000,"5,508",19,"4,313",22,12,5,23,75,"1,039"
Brooklyn,047,3,090200,"3,451",27,"2,590",5,41,3,13,41,731
Brooklyn,047,3,090600,"4,581",33,"3,106",16,20,0,8,42,"1,356"
Brooklyn,047,3,090800,"3,990",66,"2,650",10,13,1,1,68,"1,181"
Brooklyn,047,3,091000,"5,610",29,"3,776",15,34,1,6,55,"1,694"
Brooklyn,047,3,091200,"6,814",61,"4,633",25,38,0,4,75,"1,978"
Brooklyn,047,3,091600,"4,325",53,"3,527",12,29,0,18,45,641
Brooklyn,047,3,091800,"2,804",13,"1,704",10,0,0,8,30,"1,039"
Brooklyn,047,3,092000,"3,154",13,"2,651",7,19,0,14,24,426
Brooklyn,047,3,092200,"2,691",19,"2,387",12,11,0,7,44,211
Brooklyn,047,3,092400,"2,656",13,"2,132",5,16,0,33,15,442
Brooklyn,047,3,092800,"2,656",41,"2,363",1,54,0,9,25,163
Brooklyn,047,3,093000,"2,547",16,"2,417",3,10,0,4,35,62
Brooklyn,047,3,093200,"1,142",22,"1,040",1,2,0,6,14,57
Brooklyn,047,3,093400,"2,401",28,"2,228",4,19,0,5,26,91
Brooklyn,047,3,093600,"1,628",6,"1,490",6,7,1,4,12,102
Brooklyn,047,3,093800,"2,374",9,"2,203",0,18,0,19,29,96
Brooklyn,047,3,094401,"3,202",51,"2,952",6,6,0,9,48,130
Brooklyn,047,3,094402,"2,886",154,"2,208",20,12,0,3,26,463
Brooklyn,047,3,094600,"1,830",42,"1,614",7,21,1,5,31,109
Brooklyn,047,3,095000,"2,906",88,"2,659",2,13,0,11,34,99
Brooklyn,047,3,095400,"4,607",156,"4,162",4,27,0,15,64,179
Brooklyn,047,3,095600,"4,042",158,"3,476",13,85,1,21,48,240
Brooklyn,047,3,095800,"3,456",150,"2,947",4,113,0,12,28,202
Brooklyn,047,3,096000,0,0,0,0,0,0,0,0,0
Brooklyn,047,3,096200,"1,717",120,"1,378",2,21,0,3,26,167
Brooklyn,047,3,096400,"2,361",165,"1,890",4,57,0,18,36,191
Brooklyn,047,3,096600,"2,164",166,"1,672",1,80,0,12,54,179
Brooklyn,047,3,096800,"1,471",135,"1,054",2,40,0,10,33,197
Brooklyn,047,3,097000,"2,105",205,"1,553",7,61,0,8,26,245
Brooklyn,047,3,097400,"2,724",237,"2,114",16,24,0,11,40,282
Brooklyn,047,3,098200,"4,305",45,"3,100",28,7,1,3,87,"1,034"
Brooklyn,047,3,098400,"1,978",58,"1,790",5,19,0,15,21,70
Brooklyn,047,3,098600,"2,862",32,"2,539",9,59,0,19,55,149
Brooklyn,047,3,098800,"3,054",250,"2,398",5,90,0,15,48,248
Brooklyn,047,3,099000,"1,422",97,"1,048",9,92,2,12,22,140
Brooklyn,047,3,099200,"1,833",140,"1,431",6,73,0,0,59,124
Brooklyn,047,3,099400,"1,978",99,"1,717",1,9,0,12,25,115
Brooklyn,047,3,099600,"3,631",163,"3,168",2,57,0,15,55,171
Brooklyn,047,3,099800,"3,784",259,"3,204",5,53,0,11,68,184
Brooklyn,047,3,100400,"2,567",144,"2,231",0,23,0,9,28,132
Brooklyn,047,3,100600,"2,489",167,"2,046",0,58,0,6,43,169
Brooklyn,047,3,100800,"2,124",212,"1,598",4,108,0,11,43,148
Brooklyn,047,3,101000,"2,318",243,"1,695",5,162,0,5,46,162
Brooklyn,047,3,101200,"1,932",167,"1,496",3,112,0,12,21,121
Brooklyn,047,3,101400,"2,160",120,"1,696",6,131,2,8,32,165
Brooklyn,047,3,101600,"1,464",71,"1,267",2,43,0,2,17,62
Brooklyn,047,3,101800,"1,851",131,"1,515",7,34,0,3,22,139
Brooklyn,047,3,102000,"1,922",142,"1,601",7,50,0,5,36,81
Brooklyn,047,3,102200,"2,075",162,"1,470",0,230,0,19,18,176
Brooklyn,047,3,102400,"2,123",175,"1,601",1,148,0,9,25,164
Brooklyn,047,3,102600,"2,771",99,"2,436",7,40,0,12,39,138
Brooklyn,047,3,102800,"1,579",59,"1,271",1,72,2,0,25,149
Brooklyn,047,3,103400,"3,918",313,"2,593",24,7,0,8,54,919
Brooklyn,047,3,105801,"6,928","1,766","3,525",9,232,2,23,106,"1,265"
Brooklyn,047,3,105804,"6,426","1,527","3,511",20,157,0,14,78,"1,119"
Brooklyn,047,3,107000,322,2,270,0,1,0,0,2,47
Brooklyn,047,3,107800,"3,849",66,"3,394",8,12,0,15,57,297
Brooklyn,047,3,109800,"1,917",66,"1,524",2,37,0,3,28,257
Brooklyn,047,3,110400,"4,358",59,"3,470",18,8,0,27,45,731
Brooklyn,047,3,110600,"4,311",35,"3,150",24,22,1,5,48,"1,026"
Brooklyn,047,3,111000,"3,216",21,"2,402",12,7,0,9,34,731
Brooklyn,047,3,111600,"3,484",40,"2,685",14,28,2,8,35,672
Brooklyn,047,3,111800,"3,053",37,"2,188",4,13,8,16,15,772
Brooklyn,047,3,112000,"3,155",32,"1,974",13,38,0,12,35,"1,051"
Brooklyn,047,3,112200,"3,371",32,"2,590",13,10,2,7,48,669
Brooklyn,047,3,112400,"3,416",17,"2,718",7,0,1,12,38,623
Brooklyn,047,3,112600,"3,783",46,"2,729",5,12,5,17,42,927
Brooklyn,047,3,112800,"3,822",46,"2,896",3,13,0,7,40,817
Brooklyn,047,3,113000,"3,891",14,"2,938",13,5,0,28,54,839
Brooklyn,047,3,113200,"1,937",4,"1,554",1,13,0,5,17,343
Brooklyn,047,3,113400,"2,838",26,"1,789",10,20,0,8,34,951
Brooklyn,047,3,114201,"1,578",28,426,15,20,0,11,20,"1,058"
Brooklyn,047,3,114202,"2,766",63,928,14,42,0,18,48,"1,653"
Brooklyn,047,3,114400,"2,403",42,"1,354",8,38,8,18,29,906
Brooklyn,047,3,114600,"2,998",50,835,9,138,1,31,57,"1,877"
Brooklyn,047,3,115000,"2,595",27,"1,330",6,28,0,18,42,"1,144"
Brooklyn,047,3,115200,"3,094",23,"1,973",16,55,3,13,40,971
Brooklyn,047,3,115600,"4,315",48,"2,604",7,53,0,14,43,"1,546"
Brooklyn,047,3,115800,"2,983",20,"2,058",3,10,0,18,27,847
Brooklyn,047,3,116000,"2,543",17,"1,730",2,0,1,11,36,746
Brooklyn,047,3,116200,"2,157",12,"1,670",8,2,4,5,45,411
Brooklyn,047,3,116400,"2,921",10,"1,937",2,46,1,42,30,853
Brooklyn,047,3,116600,"2,907",36,"1,508",2,85,0,26,30,"1,220"
Brooklyn,047,3,116800,"2,057",36,569,12,82,0,64,45,"1,249"
Brooklyn,047,3,117000,"1,880",32,383,15,138,3,48,37,"1,224"
Brooklyn,047,3,117201,"2,713",77,493,3,104,1,98,40,"1,897"
Brooklyn,047,3,117202,"3,907",97,944,15,165,0,123,58,"2,505"
Brooklyn,047,3,117400,"4,329",118,798,31,212,4,161,53,"2,952"
Brooklyn,047,3,117601,"2,750",95,435,26,122,0,114,48,"1,910"
Brooklyn,047,3,117602,"3,313",130,511,4,216,0,130,86,"2,236"
Brooklyn,047,3,117800,"1,717",44,263,18,287,0,81,65,959
Brooklyn,047,3,118000,6,0,5,0,0,0,1,0,0
Brooklyn,047,3,118201,"3,002",135,427,14,193,3,63,98,"2,069"
Brooklyn,047,3,118202,"3,083",87,397,7,265,0,112,61,"2,154"
Brooklyn,047,3,118400,"5,420",198,697,35,539,4,132,131,"3,684"
Brooklyn,047,3,118600,"2,969",91,472,20,459,0,158,69,"1,700"
Brooklyn,047,3,118800,"4,651",148,664,63,"1,643",4,233,178,"1,718"
Brooklyn,047,3,119000,"2,127",40,586,24,356,3,141,71,906
Brooklyn,047,3,119200,"3,013",33,"1,352",5,130,6,14,19,"1,454"
Brooklyn,047,3,119400,"3,914",24,"2,502",4,91,0,29,45,"1,219"
Brooklyn,047,3,119600,"5,403",80,"2,356",27,"1,095",2,99,142,"1,602"
Brooklyn,047,3,119800,"3,426",135,"1,167",7,90,5,38,41,"1,943"
Brooklyn,047,3,120000,"2,148",60,948,7,392,0,64,84,593
Brooklyn,047,3,120200,"1,900",43,275,30,919,10,130,76,417
Brooklyn,047,3,120800,"8,938",174,"6,480",49,259,0,50,117,"1,809"
Brooklyn,047,3,121000,"4,035",26,"1,973",8,22,0,20,38,"1,948"
Brooklyn,047,3,121400,"4,351",40,"2,627",6,18,0,11,32,"1,617"
Brooklyn,047,3,122000,"5,495",100,"4,173",13,65,1,24,77,"1,042"
Brooklyn,047,3,123700,"6,008","4,703",182,2,38,20,33,42,988
Brooklyn,047,3,150200,"2,540","1,762",67,1,201,0,16,54,439
Brooklyn,047,3,152200,"3,317","1,294",691,23,660,0,44,77,528
Brooklyn,047,3,990100,0,0,0,0,0,0,0,0,0